站名,地址,營業時間,目前狀態,緯度,經度,gx_media_links
家樂福便利購永康二王店站,台南市永康區中山南路696號(近寶雅生活百貨),24HR,已啟用,23.020150,120.244360,https://cdn.gogoro.com/resources/images/gostations/TW7108801A_01.jpg
家樂福光華店站,高雄市前鎮區光華二路157號(近中正高工對面),08:00 ~ 22:00,已啟用,22.611061,120.317379,https://cdn.gogoro.com/resources/images/gostations/TW8065401A_01.jpg
家樂福內湖店站,台北市內湖區民善街88號(近民善街/新湖二路口),24HR,已啟用,25.060362,121.575183,https://cdn.gogoro.com/resources/images/gostations/TW1149401A_01.jpg
家樂福北大店站,新北市樹林區大雅路288號(地下二樓機車停車場)(近大雅路/學勤路口),09:00 ~ 23:00,已啟用,24.947527,121.379750,https://cdn.gogoro.com/resources/images/gostations/TW2385401A_01.jpg
家樂福北門店站,嘉義市東區忠孝路346巷21號(近北興國中),24HR,已啟用,23.489379,120.455883,https://cdn.gogoro.com/resources/images/gostations/TW6008101A_01.jpg
家樂福十全店站,高雄市三民區十全一路109號(近青島街機車停車場),24HR,已啟用,22.644569,120.310353,https://cdn.gogoro.com/resources/images/gostations/TW8075201A_01.jpg
家樂福南投店站,南投縣南投市三和三路21號(近三和三路/公園南街交岔口),24HR,已啟用,23.905919,120.689301,https://cdn.gogoro.com/resources/images/gostations/TW5405701A_01.jpg
家樂福嘉義店站,嘉義市西區博愛路二段461號(近興業西路停車場入口),24HR,已啟用,23.470922,120.431152,https://cdn.gogoro.com/resources/images/gostations/TW6006001A_01.jpg
家樂福安平店站,台南市中西區中華西路2段16號(近永華路一段/中華西路二段路口),24HR,已啟用,22.988909,120.186984,https://cdn.gogoro.com/resources/images/gostations/TW7006201A_01.jpg
家樂福屏東店站,屏東縣屏東市仁愛路188號(平面機車停車場內),24HR,已啟用,22.683135,120.497996,https://cdn.gogoro.com/resources/images/gostations/TW9005301A_01.jpg
家樂福崇德店站,台中市北區崇德路一段635號(崇德路一段/漢口路四段交叉口),06:30 ~ 23:30,已啟用,24.167703,120.684903,https://cdn.gogoro.com/resources/images/gostations/TW4045201A_01.jpg
家樂福彰化店站,彰化縣彰化市金馬路二段321號(近金馬路/東谷路),24HR,已啟用,24.094641,120.542186,https://cdn.gogoro.com/resources/images/gostations/TW5008401A_01.jpg
家樂福愛河店站,高雄市三民區河東路356號(近愛河景觀親水公園),24HR,已啟用,22.634166,120.285723,https://cdn.gogoro.com/resources/images/gostations/TW8075202A_01.jpg
家樂福成功店站,高雄市前鎮區中華五路1111號(家樂福/IKEA中間),24HR,已啟用,22.605490,120.304620,https://cdn.gogoro.com/resources/images/gostations/TW8066101A_01.jpg
家樂福文心店站,台中市南屯區文心路一段521號(文心路一段/大業路交叉口),24HR,已啟用,24.153917,120.646406,https://cdn.gogoro.com/resources/images/gostations/TW4084801A_01.jpg
家樂福斗六店站,雲林縣斗六市雲林路二段297號(近雲林縣政府),24HR,已啟用,23.702237,120.530646,https://cdn.gogoro.com/resources/images/gostations/TW6404101A_01.jpg
家樂福新營店站,台南市新營區健康路251號(近新營體育場),24HR,已啟用,23.319643,120.311832,https://cdn.gogoro.com/resources/images/gostations/TW7305001A_01.jpg
家樂福楠梓店站,高雄市楠梓區藍田路288號(近中山高中),24HR,已啟用,22.727367,120.291102,https://cdn.gogoro.com/resources/images/gostations/TW8114801A_01.jpg
家樂福澄清店站,高雄市三民區澄清路635號(近澄清路/澄和路口),24HR,已啟用,22.644160,120.346120,https://cdn.gogoro.com/resources/images/gostations/TW8077001A_01.jpg
家樂福經國店站,桃園市桃園區經國路369號(近敏盛綜合醫院(經國院區)),24HR,已啟用,25.015641,121.305429,https://cdn.gogoro.com/resources/images/gostations/TW3304401A_01.jpg
家樂福蘆洲店站,新北市三重區五華街282號(地下一樓機車停車場)(近三重集賢環保公園),24HR,已啟用,25.087527,121.486609,https://cdn.gogoro.com/resources/images/gostations/TW2415301A_01.jpg
家樂福虎尾店站,雲林縣虎尾鎮立新街96號(近立仁國小),24HR,已啟用,23.705158,120.426901,https://cdn.gogoro.com/resources/images/gostations/TW6324601A_01.jpg
家樂福豐原店站,台中市豐原區成功路500號(近成功路/建成路),24HR,已啟用,24.251830,120.706189,https://cdn.gogoro.com/resources/images/gostations/TW4205401A_01.jpg
