VmId,站名,地址,營業時間,目前狀態,緯度,經度,gx_media_links
0641f387-20db-4880-8812-7f97bb016a8f,HiLife 彰縣彰花店站,彰化縣花壇鄉中山路一段72號(近中山路一段/中橋街交叉口),24HR,已啟用,24.011307,120.552303,https://cdn.gogoro.com/resources/images/gostations/TW5034301A_01.jpg
068e541f-e6df-4588-ba6f-6d190edc53de,汐止公園站,新北市汐止區大同路二段451號(近新北市消防局汐止分隊),24HR,已啟用,25.067665,121.659205,https://cdn.gogoro.com/resources/images/gostations/TW2217401A_01.jpg
0698aaf6-87ed-4cf2-9d47-ddbd92692d1e,家樂福桂林店站,台北市萬華區桂林路1號(地下一樓機車停車場)(近家樂福桂林店),24HR,已啟用,25.038043,121.505847,https://cdn.gogoro.com/resources/images/gostations/TW1084901A_01.jpg
06e20d0d-5b9f-486b-9019-637af710fb9c,中油美濃加油站,高雄市美濃區成功路133號(近成功路/合和路口),24HR,建置中,22.893975,120.546892,https://cdn.gogoro.com/resources/images/gostations/TW8434101A_01.jpg
072a4e0c-9bd8-4497-ae61-7f4c059b61cd,中油關西加油站,新竹縣關西鎮中豐路二段50號(近中豐路/豐德街口),24HR,已啟用,24.793601,121.179728,https://cdn.gogoro.com/resources/images/gostations/TW3064101A_01.jpg
07bb7157-7e25-4df8-aa34-13b4c5abef0b,HiLife 北市社子店站,台北市士林區社子街63巷2號(近社子聖彌額爾天主堂),24HR,已啟用,25.087543,121.506870,https://cdn.gogoro.com/resources/images/gostations/TW1117301A_01.jpg
08180132-04a6-4a2b-9878-6ade516d3609,振興公園地下停車場站,台北市北投區天母西路112號(地下一樓機車停車場)(近臺北榮民總醫院),24HR,已啟用,25.118785,121.523261,https://cdn.gogoro.com/resources/images/gostations/TW1128301A_01.jpg
0841da90-2dd1-4e05-80ee-f3ccc8d857f1,中油瑞芳加油站,新北市瑞芳區中山路200號(近瑞芳國小),24HR,已啟用,25.106869,121.801540,https://cdn.gogoro.com/resources/images/gostations/TW2244401A_01.jpg
0938536c-88f8-44ef-801a-05e9b62c7873,Gogoro 桃園藝文店站,桃園市桃園區大興西路一段163號(近桃園市政府警察局桃園分局同安派出所),24HR,已啟用,25.014295,121.304959,https://cdn.gogoro.com/resources/images/gostations/TW3304402A_01.jpg
094c62ab-1c1c-47f5-92b5-2ecc3d7770d8,7-ELEVEN 航發店站,台中市西屯區河南路二段242號(近河南路二段與逢大路路口),24HR,已啟用,24.175841,120.650286,https://cdn.gogoro.com/resources/images/gostations/TW4074403A_01.jpg
0992cf4d-709e-4284-9f2a-bae928161482,中油新坡加油站,桃園市觀音區中山路二段794號(近中山路/環中路口),24HR,已啟用,25.010665,121.139445,https://cdn.gogoro.com/resources/images/gostations/TW3285001A_01.jpg
09956233-a912-4b3a-a905-875e3c2d2099,全聯八德大湳店站,桃園市八德區福國北街79號(近福國北街/中路街口),24HR,已啟用,24.961046,121.294729,https://cdn.gogoro.com/resources/images/gostations/TW3346001A_01.jpg
09d2a9d7-e031-4e06-857f-3c316b289bd0,台北捷運劍南路站A,台北市中山區敬業二路捷運站2號出口(近捷運站機車轉乘停車場),24HR,已啟用,25.084657,121.554525,https://cdn.gogoro.com/resources/images/gostations/TW1046401A_01.jpg
0a0b650d-fb33-49e9-896f-d02a766d8836,Gogoro 新莊中正服務中心站,新北市新莊區中正路57號(近捷運頭前庄站3號出口),24HR,已啟用,25.039726,121.462035,https://cdn.gogoro.com/resources/images/gostations/TW2424301A_01.jpg
0abdf662-692d-4e54-9014-0ac31d8a96e8,山隆林口加油站,新北市林口區文化二路二段553號(近中華路/文化二路口),24HR,已啟用,25.090349,121.383464,https://cdn.gogoro.com/resources/images/gostations/TW2445801A_01.jpg
0adcb8a1-b1c0-4ef5-bc36-c1ded4470531,三重溪美立體停車場站,新北市三重區自強路四段55號(近新北市三重戶政事務所溪美辦事處),24HR,已啟用,25.078212,121.490151,https://cdn.gogoro.com/resources/images/gostations/TW2415102A_01.jpg
0b285a50-e1d9-41d5-9778-2b4dc6fa9aaf,中油永錡彭厝加油站,新北市樹林區八德街395號(近環河路/八德街交接口),24HR,已啟用,24.971858,121.415660,https://cdn.gogoro.com/resources/images/gostations/TW2385701A_01.jpg
0b2a7bca-3af6-42b4-905d-a1ae36ad9884,中油潮州加油站,屏東縣潮州鎮延平路217號(近中油快保中心),24HR,已啟用,22.557001,120.540290,https://cdn.gogoro.com/resources/images/gostations/TW9205001A_01.jpg
0b6457a3-1197-4625-9031-0cbe59a73004,家樂福楠梓店站,高雄市楠梓區藍田路288號(近中山高中),24HR,已啟用,22.727367,120.291102,https://cdn.gogoro.com/resources/images/gostations/TW8114801A_01.jpg
0cb4ff83-ed39-4a5c-baac-1be5d494cfb3,MissGreen 美式蔬食餐廳站,台北市大安區敦化南路二段63巷28號(近立人國際國民中小學),24HR,已啟用,25.030856,121.550566,https://cdn.gogoro.com/resources/images/gostations/TW1068201A_01.jpg
